Gender,Stroke,PrelimsTime,FinalsTime,Lane
F,Breast,69.37,68.4,Outside
F,Breast,69.73,69.1,Outside
F,Breast,69.9,69.27,Inside
F,Breast,69.9,70.52,Inside
F,Breast,71.75,70.95,Outside
F,Breast,72.01,74.98,Outside
M,Breast,56.39,55.52,Inside
M,Breast,56.19,56.95,Inside
M,Breast,57.86,57.06,Outside
M,Breast,57.84,57.68,Outside
M,Breast,58.14,57.96,Inside
M,Breast,58.03,58.16,Inside
M,Breast,59.22,58.28,Outside
M,Breast,59.0,58.9,Outside
F,Back,56.87,56.2,Inside
F,Back,58.26,57.17,Inside
F,Back,59.88,59.74,Outside
F,Back,59.99,60.54,Outside
F,Back,60.2,59.52,Inside
F,Back,60.04,60.57,Inside
F,Back,62.39,61.91,Outside
F,Back,62.3,62.24,Outside
M,Back,51.3,50.2,Inside
M,Back,51.56,50.66,Inside
M,Back,52.17,51.41,Outside
M,Back,52.58,52.67,Outside
M,Back,52.7,53.07,Inside
M,Back,52.68,53.15,Inside
M,Back,54.55,54.36,Outside
M,Back,54.76,54.4,Outside
F,Free,52.6,52.43,Inside
F,Free,52.94,52.91,Inside
F,Free,54.11,53.84,Outside
F,Free,54.09,54.31,Outside
F,Free,54.95,53.32,Outside
F,Free,54.5,54.36,Inside
F,Free,54.28,54.96,Inside
F,Free,54.95,55.0,Outside
M,Free,45.23,43.83,Inside
M,Free,45.13,45.06,Inside
M,Free,46.24,46.15,Outside
M,Free,46.4,46.3,Outside
M,Free,46.47,46.64,Inside
M,Free,47.38,46.83,Outside
M,Free,47.33,47.04,Outside
M,Free,46.52,47.06,Inside
F,Fly,64.98,62.81,Inside
F,Fly,67.64,67.27,Inside
F,Fly,75.0,75.47,Outside
F,Fly,76.87,75.89,Inside
F,Fly,74.31,77.28,Outside
F,Fly,78.12,77.95,Inside
F,Fly,117.94,115.92,Outside
M,Fly,55.62,53.93,Inside
M,Fly,55.72,54.1,Inside
M,Fly,58.53,58.29,Outside
M,Fly,59.43,59.51,Outside
M,Fly,62.09,62.36,Inside
F,Breast,74.62,75.08,Inside
F,Breast,75.1,75.14,Inside
F,Breast,111.85,109.67,Outside
F,Breast,115.68,112.95,Outside
F,Breast,119.00999999999999,122.52,Inside
M,Breast,61.76,61.21,Inside
M,Breast,61.67,61.35,Inside
M,Breast,66.27,62.52,Outside
M,Breast,67.81,65.58,Inside
M,Breast,66.77,66.89,Outside
M,Breast,67.33,67.62,Inside
M,Breast,78.22,76.16,Outside
M,Breast,79.08,77.13,Outside
